"Qty";"Value";"Device";"Package";"Parts";"Description";"ALTERNATE_PARTNUMBER";"APPLICATION_BUILDNUMBER";"BOI";"BOI-METRIC";"BUILT_BY";"CATEGORY";"COMPTYPE";"COPYRIGHT";"CREATED_BY";"DESCRIPTION";"DESIG";"DIGI#";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_PART_NUMBER";"FAB";"ISP_PART";"MANF#";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MP";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGEREFERENCE";"PARTNUMBER";"PART_STATUS";"PIN_COUNT";"POPULARITY";"REF";"REFDES";"ROHS";"ROHS_COMPLIANT";"SERIES";"SOURCELIBRARY";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TP_SIGNAL_NAME";"TYPE";"URL";"VALUE";"VENDOR";"VOLTAGE_RATING";
"4";"47pF";"C-EUC0201";"C0201";"C14, C15, C16, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"2";"5M";"R-US_R0201";"R0201";"R27, R39";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"2";"68nF";"C-EUC0402";"C0402";"C8, C42";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"68pF";"C-EUC0201";"C0201";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";
"1";"845ohm";"R-US_R0201";"R0201";"R36";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"1";"ADP165ACBZ-1.8-R7";"ADP160ACBZ-3.3-R7";"CB_4_1";"U16";"ADP160ACBZ- Linear Voltage Regulator IC Positive Fixed 1 Output  150mA 4-WLCSP (0.97x0.97)";"";"";"";"";"";"";"";"";"";"";"";"ADP160ACBZ-3.3-R7CT-ND";"";"";"";"";"";"ADP160ACBZ-3.3-R7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.digikey.com/short/p17qrf";"";"";"";
"1";"ADP165ACBZ-3.3-R7";"ADP160ACBZ-3.3-R7";"CB_4_1";"U5";"ADP160ACBZ- Linear Voltage Regulator IC Positive Fixed 1 Output  150mA 4-WLCSP (0.97x0.97)";"";"";"";"";"";"";"";"";"";"";"";"ADP160ACBZ-3.3-R7CT-ND";"";"";"";"";"";"ADP160ACBZ-3.3-R7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.digikey.com/short/p17qrf";"";"";"";
"1";"ANT-LTE-SP610-T";"ANT-LTE-SP610-T";"ANT-LTE-SP610-T";"U$1";"700MHz, 850MHz, 900MHz, 1.8GHz, 1.9GHz, 2.1GHz, 2.4GHz, 2.6GHz CAT-M1, Cellular, GSM, LTE, LTE-M, LPWA, NB-IOT, UMTS, 4G Chip RF Antenna 698MHz ~ 960MHz, 1.71GHz ~ 2.17GHz, 2.3GHz ~ 2.4GHz, 2.49GHz ~ 2.69GHz 5.1dBi, 5.3dBi, 4.9dBi, 2.7dBi Solder Surface Mount";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ANT-LTE-SP610-T";"";"";
"1";"AT25QL128A-UUE-T";"AT25QL128A-UUE-T";"21-WLCSP";"U13";"FLASH Memory IC 128Mb (16M x 8) SPI - Quad I/O, QPI 104MHz 21-WLCSP (3.02x3.29)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"AT25QL128A-UUE-T";"";"";
"1";"BAT30F4";"BAT30F4";"BAT30F4";"D1";"Diode Schottky 30V 300mA Surface Mount 0201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BAT30F4";"";"";
"1";"BQ29700DSER";"BQ297XXDSER";"DSE0006A";"U3";"BQ297xx Cost-Effective Voltage and Current Protection Integrated Circuit for Single-Cell Li-Ion and Li-Polymer Batteries";"TPS72710DSET";"*";"";"";"";"";"IC";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"SMT";"";"";"";"";"DSE0006A";"TPS72710DSER";"";"6";"";"";"RefDes";"Y";"";"";"";"";"";"";"";"TYPE";"";"BQ29700DSER";"";"";
"1";"BQ51050BDSBGA";"BQ51050BDSBGA";"YFP28";"U14";"BQ51050B - Wireless Power Receiver.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"CLMVC-FKA";"CLMVC-FKA";"CLMVC-FKA";"D2, D6";"Red, Green, Blue (RGB) 622nm Red, 530nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3V Green, 3V Blue 4-SMD, J-Lead";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"CSD13385F5T";"CSD13385F5T";"YJK3";"Q1, Q2";"N-Channel 12V 4.3A (Ta) 500mW (Ta) Surface Mount 3-PICOSTAR";"";"";"";"";"";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"";"";"";"";"";"CSD13385F5T";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TI_2019-05-21";"";"";"";"";"";"";"";"Texas Instruments";"";
"2";"ECS-.327-12.5-1210-TR";"ECS-.327-12.5-1210-TR";"ECS-.327-12.5-1210-TR";"Y1, Y3";"CRYSTAL 32.7680KHZ 12.5PF SMD";"";"";"";"";"";"";"";"";"PCBLayout.com";"";"";"";"";"";"XC2282TR-ND";"";"";"";"ECS Inc.";"";"";"";"";"ECS-.327-12.5-1210-TR";"";"2-SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ECS-160-9-37-CKM-TR";"ECS-160-9-37-CKM-TR";"XTAL_ECS-160-9-37-CKM-TR";"Y4";"SMD Crystal 2.0 x 1.6 x 0.45 mm ceramic package";"";"";"";"";"";"";"";"";"";" 16MHz ±10ppm Crystal 9pF 100 Ohms 4-SMD, No Lead ";"";"";"XC2630CT-ND";"https://www.digikey.com/product-detail/en/ecs-inc/ECS-160-9-37-CKM-TR/XC2630CT-ND/8023565?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"ECS Inc.";"";"ECS-160-9-37-CKM-TR";"";"";"SMD-4 ECS International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"EVQ-7PJ";"EVQ-7P(J/A)";"EVQ-7PJ/A";"S1";"PANASONIC SWITCH TACTILE SPST-NO 0.05A 12V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EVQ-7PJ";"";"";
"1";"ISP1507ALISP1507AL_ISP1507-AL";"ISP1507ALISP1507AL_ISP1507-AL";"ISP1507-AL";"U7";"ISP Smart Bluetooth Module";"";"";"QFN 8 x 8";"QFN 8 x 8";"";"";"";"";"";"";"BLE Module";"";"";"";"";"Insight SiP";"ISP1507AL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ISP1507AL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
